NO,CATEGORY - ENGLISH,CATEGORY - ARABIC,PRODUCT NAME - ENGLISH,PRODUCT NAME - ARABIC,DESCRIPTION - ENGLISH,DESCRIPTION - ARABIC,PRICE,PREPARATION TIME,ADD-ONS ENGLISH,ADD-ONS ARABIC
,الفئة - اللغة الإنجليزية,الفئة - اللغة العربية,اسم المنتج - اللغة الإنجليزية,اسم المنتج - اللغة العربية,الوصف - اللغة الإنجليزية,الوصف - اللغة العربية,السعر,وقت التحضير,إضافات - اللغة الإنجليزية,إضافات اللغة العربية
1,Flower Bouquet,باقة زهور,bouquet with tulip white small,باقة توليب أبيض صغيرة,A delicate small bouquet of white tulips.,باقة صغيرة ورقيقة من التوليب الأبيض.,130,60,Greeting Card,بطاقة تهنئة
2,Flower Bouquet,باقة زهور,bouquet pink lilly with beige wrapp-04,باقة زنابق وردية مع تغليف بيج-04,Pink lilies elegantly wrapped in beige paper.,زنابق وردية مغلفة بأناقة في ورق بيج.,180,60,Greeting Card,بطاقة تهنئة
3,Flower Bouquet,باقة زهور,bouquet pink lilly-01,باقة زنابق وردية-01,A classic bouquet of pink lilies.,باقة كلاسيكية من الزنابق الوردية.,170,60,Greeting Card,بطاقة تهنئة
4,Flower Bouquet,باقة زهور,bouquet purple tulip -02,باقة توليب بنفسجي-02,A vibrant bouquet of purple tulips.,باقة زاهية من التوليب البنفسجي.,160,60,Greeting Card,بطاقة تهنئة
5,Flower Bouquet,باقة زهور,bouquet red rose double wrapp-03,باقة ورد أحمر تغليف مزدوج-03,Red roses with premium double wrapping.,ورود حمراء مع تغليف مزدوج فاخر.,120,60,Greeting Card,بطاقة تهنئة
6,Flower Bouquet,باقة زهور,bouquet white lilly -04,باقة زنابق بيضاء-04,A pure white lily bouquet.,باقة زنابق بيضاء نقية.,200,60,Greeting Card,بطاقة تهنئة
7,Flower Bouquet,باقة زهور,bouquet white tulip with traditinal wrapp-05,باقة توليب أبيض تغليف تقليدي-05,White tulips with classic traditional wrapping.,توليب أبيض مع تغليف تقليدي كلاسيكي.,250,60,Greeting Card,بطاقة تهنئة
8,Flower Bouquet,باقة زهور,bouquet white tulip-05,باقة توليب أبيض-05,A fresh bouquet of white tulips.,باقة طازجة من التوليب الأبيض.,160,60,Greeting Card,بطاقة تهنئة
9,Flower Bouquet,باقة زهور,Bouquet with all tulip mix-30,باقة توليب مشكلة-30,A vibrant mix of all tulip colors.,مزيج زاهٍ من جميع ألوان التوليب.,370,60,Greeting Card,بطاقة تهنئة
10,Flower Bouquet,باقة زهور,Bouquet with cute lilly-11,باقة زنابق جميلة-11,A cute bouquet featuring lilies.,باقة جميلة تضم زنابق.,100,60,Greeting Card,بطاقة تهنئة
11,Flower Bouquet,باقة زهور,Bouquet with cute mix flowers,باقة زهور مشكلة جميلة,A lovely mix of assorted flowers.,مزيج رائع من زهور متنوعة.,280,60,Greeting Card,بطاقة تهنئة
12,Flower Bouquet,باقة زهور,Bouquet with cye tulip -24,باقة توليب-24,A stylish bouquet of tulips.,باقة أنيقة من التوليب.,130,60,Greeting Card,بطاقة تهنئة
13,Flower Bouquet,باقة زهور,bouquet with heart pink-14,باقة قلب وردي-14,A heart-shaped pink floral bouquet.,باقة زهور وردية على شكل قلب.,300,60,Greeting Card,بطاقة تهنئة
14,Flower Bouquet,باقة زهور,Bouquet with lilly green and mix-39,باقة زنابق خضراء ومشكلة-39,Lilies mixed with greenery and other flowers.,زنابق ممزوجة بالخضرة وزهور أخرى.,160,60,Greeting Card,بطاقة تهنئة
15,Flower Bouquet,باقة زهور,Bouquet with lilly grey wrapp-35,باقة زنابق تغليف رمادي-35,Lilies wrapped in elegant grey paper.,زنابق مغلفة بورق رمادي أنيق.,200,60,Greeting Card,بطاقة تهنئة
16,Flower Bouquet,باقة زهور,bouquet with lilly mix arrangment-16,باقة زنابق مشكلة-16,A mixed arrangement featuring lilies.,تنسيق مشكل يضم زنابق.,270,60,Greeting Card,بطاقة تهنئة
17,Flower Bouquet,باقة زهور,Bouquet with long lilly -35,باقة زنابق طويلة-35,A bouquet with long-stemmed lilies.,باقة تضم زنابق ذات سيقان طويلة.,230,60,Greeting Card,بطاقة تهنئة
18,Flower Bouquet,باقة زهور,bouquet with mix color,باقة ألوان مشكلة,A bouquet with a vibrant mix of colors.,باقة تضم مزيجاً زاهياً من الألوان.,320,60,Greeting Card,بطاقة تهنئة
19,Flower Bouquet,باقة زهور,Bouquet with mix flower-10,باقة زهور مشكلة-10,A vibrant collection of assorted seasonal blooms for a striking display.,تشكيلة حيوية من الزهور الموسمية المتنوعة لعرض لافت.,970,60,Greeting Card,بطاقة تهنئة
20,Flower Bouquet,باقة زهور,Bouquet with mix joy flower-8,باقة زهور البهجة-8,A cheerful blend of colorful flowers designed to bring joy and happiness.,مزيج مبهج من الزهور الملونة المصممة لجلب الفرح والسعادة.,340,60,Greeting Card,بطاقة تهنئة
21,Flower Bouquet,باقة زهور,Bouquet with pink all lilly-32,باقة زنبق وردي كامل-32,An elegant arrangement featuring only premium pink lilies.,تنسيق أنيق يضم زنبقاً وردياً فاخراً فقط.,250,60,Greeting Card,بطاقة تهنئة
22,Flower Bouquet,باقة زهور,Bouquet with pink and pink baby rose-37,باقة ورد وردي وبيبي روز-37,Soft pink roses combined with delicate baby roses for a romantic touch.,ورد وردي ناعم ممزوج مع بيبي روز رقيق لمسة رومانسية.,220,60,Greeting Card,بطاقة تهنئة
23,Flower Bouquet,باقة زهور,Bouquet with pink and purple tulip mix-19,باقة توليب وردي وبنفسجي-19,A sophisticated mix of pink and purple tulips in a stylish wrap.,مزيج راقٍ من التوليب الوردي والبنفسجي في تغليف أنيق.,820,60,Greeting Card,بطاقة تهنئة
24,Flower Bouquet,باقة زهور,Bouquet with pink lilly mix-15,باقة زنبق وردي مشكل-15,Pink lilies complemented by subtle seasonal greenery and fillers.,زنبق وردي مكمل بلمسات خضراء موسمية رقيقة.,270,60,Greeting Card,بطاقة تهنئة
25,Flower Bouquet,باقة زهور,Bouquet with pink rose-13,باقة ورد وردي-13,"Classic pink roses arranged with grace, perfect for expressions of love.",ورد وردي كلاسيكي منسق بأناقة، مثالي للتعبير عن الحب.,180,60,Greeting Card,بطاقة تهنئة
26,Flower Bouquet,باقة زهور,Bouquet with premium arrangment-17,باقة تنسيق فاخر-17,"A high-end, artistic arrangement curated for special, luxurious occasions.",تنسيق فني رفيع المستوى مخصص للمناسبات الفاخرة.,370,60,Greeting Card,بطاقة تهنئة
27,Flower Bouquet,باقة زهور,Bouquet with purple mix-18,باقة مزيج بنفسجي-18,A beautiful arrangement featuring varying shades of purple blossoms.,تنسيق جميل يضم درجات متنوعة من الزهور البنفسجية.,340,60,Greeting Card,بطاقة تهنئة
28,Flower Bouquet,باقة زهور,Bouquet with purple tulip and rose mix-07,باقة توليب بنفسجي وورد-07,A creative combination of purple tulips and roses for a unique aesthetic.,مزيج إبداعي من التوليب البنفسجي والورد لإطلالة فريدة.,320,60,Greeting Card,بطاقة تهنئة
29,Flower Bouquet,باقة زهور,Bouquet with red rose mix-9,باقة ورد أحمر مشكل-9,"A passionate arrangement of rich red roses, styled for elegance.",تنسيق عاطفي من الورد الأحمر الغني، منسق بكل أناقة.,680,60,Greeting Card,بطاقة تهنئة
30,Flower Bouquet,باقة زهور,Bouquet with soft flower-12,باقة زهور ناعمة-12,"Gentle, pastel-toned flowers crafted into a soft, dreamlike bouquet.",زهور بألوان هادئة منسقة في باقة ناعمة كالخيال.,560,60,Greeting Card,بطاقة تهنئة
31,Flower Bouquet,باقة زهور,Bouquet with soft lilly nice-15,باقة زنبق ناعم-15,"Beautiful, soft-petaled lilies arranged for a serene and calm look.",زنبق ببتلات ناعمة وجميلة منسق لإطلالة هادئة ومريحة.,250,60,Greeting Card,بطاقة تهنئة
32,Flower Bouquet,باقة زهور,Bouquet with special flower arrangment-16,باقة تنسيق زهور خاص-16,"A custom, specialized arrangement designed for maximum visual impact.",تنسيق خاص ومميز مصمم ليخطف الأنظار.,370,60,Greeting Card,بطاقة تهنئة
33,Flower Bouquet,باقة زهور,Bouquet with tulip-27,باقة توليب-27,"Fresh, premium tulips presented in a clean and modern style.",توليب طازج وفاخر مقدم بأسلوب عصري ونظيف.,140,60,Greeting Card,بطاقة تهنئة
34,Flower Bouquet,باقة زهور,Bouquet with tulip and gypso mix-35,باقة توليب وجيبسوفيلا-35,Delicate tulips accented with cloud-like white gypso for a light look.,توليب رقيق بلمسات من الجيبسوفيلا البيضاء لإطلالة خفيفة.,160,60,Greeting Card,بطاقة تهنئة
35,Flower Bouquet,باقة زهور,Bouquet with white mix lilly-06,باقة زنبق أبيض مشكل-06,"A crisp, all-white arrangement of lilies and seasonal fillers.",تنسيق نقي باللون الأبيض يجمع بين الزنبق وزهور موسمية.,250,60,Greeting Card,بطاقة تهنئة
36,Flower Bouquet,باقة زهور,Bouquet with white shine -31,باقة بريق أبيض-31,A radiant white bouquet designed to shine and brighten any room.,باقة بيضاء متألقة مصممة لتشرق وتضيء أي مكان.,270,60,Greeting Card,بطاقة تهنئة
37,Flower Bouquet,باقة زهور,Bouquet with all color flowers-64,باقة زهور متعددة الألوان-64,A vibrant explosion of assorted flowers in various bright colors.,انفجار حيوي من الزهور المتنوعة بألوان زاهية ومختلفة.,380,60,Greeting Card,بطاقة تهنئة
38,Flower Bouquet,باقة زهور,Bouquet with all flower mix-96,باقة مزيج زهور شامل-96,A comprehensive mix of fresh seasonal flowers arranged harmoniously.,مزيج متكامل من الزهور الموسمية الطازجة منسقة بتناغم.,210,60,Greeting Card,بطاقة تهنئة
39,Flower Bouquet,باقة زهور,Bouquet with baby rose mix-83,باقة بيبي روز مشكل-83,Charming baby roses combined with delicate greenery for a sweet look.,بيبي روز ساحر ممزوج مع لمسات خضراء رقيقة لإطلالة لطيفة.,199,60,Greeting Card,بطاقة تهنئة
40,Flower Bouquet,باقة زهور,Bouquet with fusia-42,باقة فوشيا-42,Bold fuchsia flowers arranged to make a striking and confident statement.,زهور فوشيا جريئة منسقة لتكون ذات طابع لافت ومميز.,140,60,Greeting Card,بطاقة تهنئة
41,Flower Bouquet,باقة زهور,Bouquet with lilly mix-71,باقة زنبق مشكل-71,An elegant arrangement featuring a variety of lilies in a beautiful mix.,تنسيق أنيق يضم تشكيلة متنوعة من الزنبق في مزيج جميل.,240,60,Greeting Card,بطاقة تهنئة
42,Flower Bouquet,باقة زهور,Bouquet with lilly mix-83,باقة زنبق مشكل-83,A classic lily arrangement designed for sophistication and grace.,تنسيق كلاسيكي من الزنبق مصمم للرقي والأناقة.,220,60,Greeting Card,بطاقة تهنئة
43,Flower Bouquet,باقة زهور,Bouquet with lilly pink rose mix-61,باقة زنبق وورد وردي مشكل-61,A romantic combination of pink lilies and soft pink roses.,مزيج رومانسي يجمع بين الزنبق الوردي والورد الوردي الناعم.,190,60,Greeting Card,بطاقة تهنئة
44,Flower Bouquet,باقة زهور,Bouquet with lilly rose-72,باقة زنبق وورد-72,"A timeless duo of fresh lilies and roses, perfect for any occasion.",ثنائي كلاسيكي من الزنبق والورد الطازج، مثالي لكل المناسبات.,370,60,Greeting Card,بطاقة تهنئة
45,Flower Bouquet,باقة زهور,Bouquet with lilly rose mix-48,باقة زنبق وورد مشكل-48,An artistic blend of lilies and roses tailored for a modern aesthetic.,مزيج فني من الزنبق والورد مصمم لإطلالة عصرية.,260,60,Greeting Card,بطاقة تهنئة
46,Flower Bouquet,باقة زهور,Bouquet with lilly small-56,باقة زنبق صغير-56,Delicate small lilies arranged in a minimalist and clean presentation.,زنبق صغير ورقيق منسق في عرض بسيط ونظيف.,190,60,Greeting Card,بطاقة تهنئة
47,Flower Bouquet,باقة زهور,Bouquet with lilly star-65,باقة زنبق ستار-65,A stunning arrangement where the lily is the star of the show.,تنسيق مذهل حيث يكون الزنبق هو بطل العرض.,340,60,Greeting Card,بطاقة تهنئة
